ID,FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE,ANIO,MES,DECADA,CLUSTER
186,1964-03-19,222904,-15.483,-72.98,117,5.1,20223006,1964,3,1960,3
187,1964-03-22,70537,-5.642,-77.02,116,5.5,20223006,1964,3,1960,0
188,1964-03-22,175118,-14.196,-75.661,59,4.8,20223006,1964,3,1960,1
189,1964-03-24,63619,-5.4,-79.4,33,4.5,20223006,1964,3,1960,2
190,1964-03-26,52506,-5.137,-76.55,120,5.2,20223006,1964,3,1960,0
191,1964-04-01,42655,-2.835,-80.263,35,4.9,20223006,1964,4,1960,2
192,1964-04-03,134640,-8.714,-78.879,83,5.2,20223006,1964,4,1960,2
193,1964-04-08,160109,-16.27,-73.4,100,4.5,20223006,1964,4,1960,3
194,1964-04-09,215441,-18.38,-71.08,21,5.4,20223006,1964,4,1960,3
195,1964-04-10,60911,-14.37,-75.7,68,4.6,20223006,1964,4,1960,1
196,1964-04-19,194132,-13.787,-75.138,86,4.9,20223006,1964,4,1960,1
197,1964-04-25,114615,-15.69,-70.46,219,4.5,20223006,1964,4,1960,3
198,1964-04-25,133607,-15.59,-69.5,268,4.5,20223006,1964,4,1960,3
199,1964-04-28,193331,-17.3,-70.1,127,4.7,20223006,1964,4,1960,3
200,1964-04-29,40801,-3.408,-78.089,26,4.9,20223006,1964,4,1960,2
201,1964-04-29,175948,-16.52,-72.2,88,4.9,20223006,1964,4,1960,3
202,1964-05-04,192541,-14.3,-75.8,14,4.9,20223006,1964,5,1960,1
203,1964-05-05,32655,-18.66,-72.76,28,5.2,20223006,1964,5,1960,3
204,1964-05-09,200635,-5.79,-82.55,19,4.9,20223006,1964,5,1960,2
205,1964-05-14,113016,-15.56,-70.86,185,4.5,20223006,1964,5,1960,3
206,1964-05-18,41505,-12.15,-73.53,81,4.8,20223006,1964,5,1960,1
207,1964-05-23,164207,-16.3,-69.2,235,4.6,20223006,1964,5,1960,3
208,1964-05-28,124959,-13.404,-74.848,103,5.4,20223006,1964,5,1960,3
209,1964-05-31,195809,-9.466,-79.739,40,4.8,20223006,1964,5,1960,2
210,1964-06-03,74931,-5.19,-78.6,33,4.7,20223006,1964,6,1960,2
211,1964-06-04,114603,-9.758,-76.306,121,5.7,20223006,1964,6,1960,0
212,1964-06-06,3252,-14.93,-72.1,108,4.6,20223006,1964,6,1960,3
213,1964-06-06,34427,-8.51,-79.305,49,4.8,20223006,1964,6,1960,2
214,1964-06-09,153130,-4.77,-77.9,40,4.9,20223006,1964,6,1960,2
215,1964-06-16,111525,-18.0,-71.7,80,4.6,20223006,1964,6,1960,3
216,1964-06-21,65448,-15.29,-73.413,95,5.3,20223006,1964,6,1960,3
217,1964-06-23,3012,-3.73,-78.1,53,5.0,20223006,1964,6,1960,2
218,1964-07-01,224920,-14.31,-73.256,84,5.6,20223006,1964,7,1960,3
219,1964-07-02,90937,-11.5,-74.36,7,5.0,20223006,1964,7,1960,1
220,1964-07-04,121346,-16.45,-72.53,81,5.7,20223006,1964,7,1960,3
221,1964-07-05,221459,-10.24,-75.11,135,5.3,20223006,1964,7,1960,0
222,1964-07-10,191644,-15.98,-71.6,136,5.3,20223006,1964,7,1960,3
223,1964-07-18,111317,-18.505,-71.392,44,5.1,20223006,1964,7,1960,3
224,1964-08-02,81405,-17.25,-69.63,5,4.7,20223006,1964,8,1960,3
225,1964-08-04,130622,-5.14,-78.7,33,4.6,20223006,1964,8,1960,2
226,1964-08-10,73453,-16.764,-71.111,99,5.2,20223006,1964,8,1960,3
227,1964-08-13,163219,-6.0,-81.3,49,4.7,20223006,1964,8,1960,2
228,1964-08-18,2653,-7.32,-74.51,156,5.5,20223006,1964,8,1960,0
229,1964-08-19,140038,-6.92,-75.26,15,4.9,20223006,1964,8,1960,2
230,1964-09-10,213632,-4.797,-81.454,25,4.9,20223006,1964,9,1960,2
231,1964-09-17,74114,-15.78,-72.945,106,5.3,20223006,1964,9,1960,3
232,1964-09-19,172612,-5.94,-81.685,10,5.0,20223006,1964,9,1960,2
233,1964-09-21,132744,-8.3,-74.9,125,5.0,20223006,1964,9,1960,0
234,1964-09-29,184614,-8.53,-74.29,159,4.6,20223006,1964,9,1960,0
235,1964-09-29,203152,-16.36,-69.35,139,4.5,20223006,1964,9,1960,3
236,1964-10-02,204147,-9.1,-79.687,32,5.0,20223006,1964,10,1960,2
237,1964-10-03,124932,-10.749,-75.057,151,4.9,20223006,1964,10,1960,0
238,1964-10-06,181907,-13.1,-75.1,117,4.7,20223006,1964,10,1960,1
239,1964-10-11,141914,-18.001,-71.671,37,5.3,20223006,1964,10,1960,3
240,1964-10-13,235413,-13.57,-76.8,61,5.0,20223006,1964,10,1960,1
241,1964-10-17,74533,-13.46,-72.6,44,4.9,20223006,1964,10,1960,3
242,1964-10-28,30708,-13.5,-72.67,54,4.9,20223006,1964,10,1960,3
243,1964-11-02,65101,-4.011,-76.742,105,6.0,20223006,1964,11,1960,0
244,1964-11-11,184856,-13.68,-75.34,81,5.3,20223006,1964,11,1960,3
245,1964-11-12,121337,-18.49,-70.42,91,5.1,20223006,1964,11,1960,3
246,1964-11-18,1202,-10.5,-75.7,94,4.8,20223006,1964,11,1960,0
247,1964-11-18,40401,-13.315,-75.265,94,4.8,20223006,1964,11,1960,1
248,1964-11-21,172425,-4.87,-76.7,109,4.9,20223006,1964,11,1960,0
249,1964-11-28,164931,-7.912,-71.367,640,5.6,20223006,1964,11,1960,4
250,1964-11-29,32455,-4.12,-80.28,100,4.8,20223006,1964,11,1960,2
251,1964-12-06,31538,-15.53,-70.6,168,5.0,20223006,1964,12,1960,3
252,1964-12-07,155553,-6.613,-76.352,132,5.2,20223006,1964,12,1960,0
253,1964-12-15,162011,-7.15,-76.77,33,5.2,20223006,1964,12,1960,2
254,1964-12-19,111805,-16.46,-72.87,108,4.7,20223006,1964,12,1960,3
255,1964-12-22,2449,-9.615,-71.265,605,5.5,20223006,1964,12,1960,4
256,1965-01-02,52510,-15.91,-71.04,69,4.9,20223006,1965,1,1960,3
257,1965-01-06,152633,-9.687,-79.373,35,4.9,20223006,1965,1,1960,2
258,1965-01-07,115730,-3.1,-76.7,30,4.9,20223006,1965,1,1960,2
259,1965-01-07,141722,-15.5,-70.89,0,4.8,20223006,1965,1,1960,3
260,1965-01-09,143514,-9.8,-80.0,26,4.9,20223006,1965,1,1960,2
261,1965-01-10,34346,-3.32,-81.4,22,5.2,20223006,1965,1,1960,2
262,1965-01-11,92739,-16.8,-74.9,33,4.8,20223006,1965,1,1960,1
263,1965-01-12,133651,-9.747,-74.983,36,5.6,20223006,1965,1,1960,3
264,1965-01-14,82519,-5.648,-81.366,32,5.8,20223006,1965,1,1960,2
265,1965-01-23,144826,-8.4,-74.5,33,4.7,20223006,1965,1,1960,1
266,1965-01-25,223639,-9.478,-74.474,115,4.7,20223006,1965,1,1960,0
267,1965-01-26,165415,-14.379,-75.757,57,4.7,20223006,1965,1,1960,1
268,1965-01-28,53500,-12.86,-78.58,16,5.2,20223006,1965,1,1960,2
269,1965-02-13,100524,-5.9,-77.6,69,4.9,20223006,1965,2,1960,2
270,1965-02-18,223219,-10.068,-71.101,585,5.5,20223006,1965,2,1960,4
271,1965-02-19,230150,-7.52,-74.68,138,4.9,20223006,1965,2,1960,0
272,1965-02-20,211013,-18.455,-72.71,15,5.3,20223006,1965,2,1960,3
273,1965-03-09,25552,-13.52,-72.79,40,4.6,20223006,1965,3,1960,1
274,1965-03-11,145505,-18.27,-71.36,68,4.5,20223006,1965,3,1960,3
275,1965-03-12,225446,-5.799,-77.856,38,5.3,20223006,1965,3,1960,2
276,1965-03-15,50851,-17.5,-74.9,13,5.8,20223006,1965,3,1960,3
277,1965-03-24,111705,-18.457,-69.96,100,4.9,20223006,1965,3,1960,3
278,1965-03-28,53028,-15.277,-72.432,118,5.0,20223006,1965,3,1960,3
279,1965-03-28,100001,-15.935,-74.16,68,5.6,20223006,1965,3,1960,3
280,1965-04-04,200943,-8.83,-74.413,143,5.5,20223006,1965,4,1960,0
281,1965-04-06,192150,-3.146,-78.252,93,5.3,20223006,1965,4,1960,2
282,1965-04-08,247,-8.327,-79.607,35,4.7,20223006,1965,4,1960,2
283,1965-04-15,20010,-5.72,-75.6,33,4.9,20223006,1965,4,1960,2
284,1965-04-22,221405,-5.997,-78.642,111,5.0,20223006,1965,4,1960,0
285,1965-04-27,52447,-13.68,-75.896,78,5.2,20223006,1965,4,1960,3
286,1965-04-28,94212,-14.205,-76.155,70,4.7,20223006,1965,4,1960,1
287,1965-05-04,121041,-16.53,-73.33,78,4.9,20223006,1965,5,1960,3
288,1965-05-05,91358,-13.861,-75.861,89,5.0,20223006,1965,5,1960,3
289,1965-05-08,222240,-13.7,-71.6,20,4.8,20223006,1965,5,1960,1
290,1965-05-09,195901,-2.796,-77.233,112,5.2,20223006,1965,5,1960,0
291,1965-05-10,83521,-17.335,-70.692,107,4.9,20223006,1965,5,1960,3
292,1965-05-11,5831,-6.7,-80.9,71,4.6,20223006,1965,5,1960,2
